Slip angle;Lateral force
11,2;3654,57
11,3;3654,15
11,4;3653,67
11,5;3653,14
11,6;3652,56
11,7;3651,94
11,8;3651,27
11,9;3650,56
12,0;3649,81
12,1;3649,02
12,2;3648,20
12,3;3647,34
12,4;3646,45
12,5;3645,54
12,6;3644,59
12,7;3643,62
12,8;3642,63
12,9;3641,61
13,0;3640,58
13,1;3639,52
13,2;3638,44
13,3;3637,35
13,4;3636,24
13,5;3635,11
13,6;3633,98
13,7;3632,82
13,8;3631,66
13,9;3630,49
14,0;3629,30
14,1;3628,11
14,2;3626,90
14,3;3625,69
14,4;3624,47
14,5;3623,25
14,6;3622,02
14,7;3620,78
14,8;3619,54
14,9;3618,30
15,0;3617,05
15,1;3615,80
15,2;3614,55
15,3;3613,30
15,4;3612,04
15,5;3610,78
15,6;3609,53
15,7;3608,27
15,8;3607,01
15,9;3605,75
16,0;3604,49
16,1;3603,24
16,2;3601,98
16,3;3600,73
16,4;3599,48
16,5;3598,23
16,6;3596,98
16,7;3595,74
16,8;3594,50
16,9;3593,26
17,0;3592,02
17,1;3590,79
17,2;3589,56
17,3;3588,33
17,4;3587,11
17,5;3585,89
17,6;3584,68
17,7;3583,47
17,8;3582,26
17,9;3581,06
18,0;3579,87
18,1;3578,67
18,2;3577,49
18,3;3576,30
18,4;3575,13
18,5;3573,95
18,6;3572,79
18,7;3571,62
18,8;3570,47
18,9;3569,31
19,0;3568,17
19,1;3567,02
19,2;3565,89
19,3;3564,76
19,4;3563,63
19,5;3562,51
19,6;3561,39
19,7;3560,28
19,8;3559,18
19,9;3558,08
